cell_index,lon_min,lon_max,lat_min,lat_max,ray_count,phase_velocity_km_s
346,-122.17999999999992,-122.16999999999992,46.189999999999976,46.199999999999974,1599.0,2.933352643704941
347,-122.16999999999992,-122.15999999999991,46.189999999999976,46.199999999999974,1867.0,2.973014472000072
348,-122.15999999999991,-122.1499999999999,46.189999999999976,46.199999999999974,2274.0,2.9116175018840016
349,-122.1499999999999,-122.1399999999999,46.189999999999976,46.199999999999974,2434.0,2.8213939337775695
350,-122.1399999999999,-122.1299999999999,46.189999999999976,46.199999999999974,2433.0,2.7876541391106326
351,-122.1299999999999,-122.11999999999989,46.189999999999976,46.199999999999974,2258.0,2.8026941068886457
352,-122.11999999999989,-122.10999999999989,46.189999999999976,46.199999999999974,2108.0,2.828257654959257
353,-122.10999999999989,-122.09999999999988,46.189999999999976,46.199999999999974,1697.0,2.8275649734746064
354,-122.09999999999988,-122.08999999999988,46.189999999999976,46.199999999999974,1284.0,2.8487322828494994
355,-122.08999999999988,-122.07999999999987,46.189999999999976,46.199999999999974,1198.0,2.8779285802274024
356,-122.07999999999987,-122.06999999999987,46.189999999999976,46.199999999999974,992.0,2.874459092391852
357,-122.06999999999987,-122.05999999999986,46.189999999999976,46.199999999999974,349.0,2.8581318471267467
358,-122.05999999999986,-122.04999999999986,46.189999999999976,46.199999999999974,48.0,2.875854042316776
359,-122.04999999999986,-122.03999999999985,46.189999999999976,46.199999999999974,6.0,2.872234541031297
360,-122.34,-122.33,46.199999999999974,46.20999999999997,0.0,2.782361008233264
361,-122.33,-122.32,46.199999999999974,46.20999999999997,4.0,2.7775131410946625
362,-122.32,-122.30999999999999,46.199999999999974,46.20999999999997,11.0,2.773008253268014
363,-122.30999999999999,-122.29999999999998,46.199999999999974,46.20999999999997,42.0,2.7644709225859034
364,-122.29999999999998,-122.28999999999998,46.199999999999974,46.20999999999997,137.0,2.7480036070827287
365,-122.28999999999998,-122.27999999999997,46.199999999999974,46.20999999999997,298.0,2.746659692052346
366,-122.27999999999997,-122.26999999999997,46.199999999999974,46.20999999999997,786.0,2.793899235724851
367,-122.26999999999997,-122.25999999999996,46.199999999999974,46.20999999999997,1083.0,2.816558760950865
368,-122.25999999999996,-122.24999999999996,46.199999999999974,46.20999999999997,1311.0,2.807896662257097
369,-122.24999999999996,-122.23999999999995,46.199999999999974,46.20999999999997,1554.0,2.7793220443370714
370,-122.23999999999995,-122.22999999999995,46.199999999999974,46.20999999999997,1901.0,2.715258467150334
371,-122.22999999999995,-122.21999999999994,46.199999999999974,46.20999999999997,1878.0,2.695194152945962
372,-122.21999999999994,-122.20999999999994,46.199999999999974,46.20999999999997,1724.0,2.690529493714469
373,-122.20999999999994,-122.19999999999993,46.199999999999974,46.20999999999997,1861.0,2.742402347075905
374,-122.19999999999993,-122.18999999999993,46.199999999999974,46.20999999999997,1808.0,2.7875238823392667
375,-122.18999999999993,-122.17999999999992,46.199999999999974,46.20999999999997,1788.0,2.827720344094846
376,-122.17999999999992,-122.16999999999992,46.199999999999974,46.20999999999997,1744.0,2.8903675934608657
377,-122.16999999999992,-122.15999999999991,46.199999999999974,46.20999999999997,1776.0,2.9089879104503695
378,-122.15999999999991,-122.1499999999999,46.199999999999974,46.20999999999997,2042.0,2.860228720178269
