source,receiver,distance_km,original_path,cleaned_path,scale
1D.4529,1D.4230,7.688349,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4230/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4230/1D.4529/stack_pws.h5,0.000266
1D.4529,1D.4397,7.708821,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4397/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4397/1D.4529/stack_pws.h5,0.000724
1D.4529,1D.4229,7.877065,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4229/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4229/1D.4529/stack_pws.h5,-0.000163
1D.4529,1D.4396,8.066807,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4396/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4396/1D.4529/stack_pws.h5,0.001118
1D.4529,1D.4395,8.314828,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4395/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4395/1D.4529/stack_pws.h5,0.002075
1D.4529,1D.4180,9.018843,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4180/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4180/1D.4529/stack_pws.h5,-0.001152
1D.4529,1D.4179,9.216545,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4179/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4179/1D.4529/stack_pws.h5,0.000606
1D.4529,1D.4178,9.268933,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4178/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4178/1D.4529/stack_pws.h5,-0.002643
1D.4529,1D.4182,9.438705,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4182/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4182/1D.4529/stack_pws.h5,-0.000500
1D.4529,1D.4177,9.469025,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4177/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4177/1D.4529/stack_pws.h5,-0.001415
1D.4529,1D.4176,9.649090,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4176/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4176/1D.4529/stack_pws.h5,0.001275
1D.4529,1D.4183,9.677528,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4183/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4183/1D.4529/stack_pws.h5,-0.003690
1D.4529,1D.4175,9.911766,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4175/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4175/1D.4529/stack_pws.h5,-0.001974
1D.4529,1D.4184,9.924524,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4184/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4184/1D.4529/stack_pws.h5,-0.000583
1D.4529,1D.4185,10.109669,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4185/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4185/1D.4529/stack_pws.h5,-0.001371
1D.4529,1D.4174,10.167960,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4174/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4174/1D.4529/stack_pws.h5,-0.001083
1D.4529,1D.4207,10.219538,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4207/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4207/1D.4529/stack_pws.h5,0.000711
1D.4529,1D.4186,10.294231,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4186/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4186/1D.4529/stack_pws.h5,0.000520
1D.4529,1D.4200,10.305026,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4200/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4200/1D.4529/stack_pws.h5,-0.000556
1D.4529,1D.4173,10.342079,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4173/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4173/1D.4529/stack_pws.h5,-0.000721
1D.4529,1D.4187,10.364775,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4187/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4187/1D.4529/stack_pws.h5,-0.000525
1D.4529,1D.4172,10.538422,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4172/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4172/1D.4529/stack_pws.h5,-0.002845
1D.4529,1D.4171,10.610998,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4171/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4171/1D.4529/stack_pws.h5,-0.001297
1D.4529,1D.4156,10.677397,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4156/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4156/1D.4529/stack_pws.h5,0.000659
1D.4529,1D.4170,10.790163,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4170/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4170/1D.4529/stack_pws.h5,0.000238
1D.4529,1D.4157,10.910538,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4157/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4157/1D.4529/stack_pws.h5,-0.000005
1D.4529,1D.4169,11.049885,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4169/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4169/1D.4529/stack_pws.h5,-0.004423
1D.4529,1D.4158,11.122384,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4158/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4158/1D.4529/stack_pws.h5,-0.001880
1D.4529,1D.4162,11.123184,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4162/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4162/1D.4529/stack_pws.h5,0.001969
1D.4529,1D.4161,11.127884,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4161/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4161/1D.4529/stack_pws.h5,0.000572
1D.4529,1D.4159,11.183254,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4159/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4159/1D.4529/stack_pws.h5,-0.000311
1D.4529,1D.4160,11.190760,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4160/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4160/1D.4529/stack_pws.h5,0.000803
1D.4529,1D.4163,11.204561,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4163/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4163/1D.4529/stack_pws.h5,0.000209
1D.4529,1D.4008,11.996242,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4008/1D.4529/stack_pws.h5,/mnt/data_hdd/MSH_ANT/parameter_tests/1d_moveout_before_after_spike_removal_20260625_fixed/stack_cleaned_subset/1D.4008/1D.4529/stack_pws.h5,-0.004506
