source,receiver,distance_km,receiver_latitude,receiver_longitude,path
1D.4529,1D.4475,17.183634,46.151001,-122.106903,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4475/1D.4529/stack_pws.h5
1D.4529,1D.4476,17.323707,46.153198,-122.105301,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4476/1D.4529/stack_pws.h5
1D.4529,1D.4477,17.541743,46.155201,-122.102699,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4477/1D.4529/stack_pws.h5
1D.4529,1D.4478,17.687668,46.157398,-122.101097,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4478/1D.4529/stack_pws.h5
1D.4529,1D.4484,17.693172,46.153301,-122.100502,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4484/1D.4529/stack_pws.h5
1D.4529,1D.4485,17.816281,46.151299,-122.098701,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4485/1D.4529/stack_pws.h5
1D.4529,1D.4486,17.909636,46.148899,-122.097298,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4486/1D.4529/stack_pws.h5
1D.4529,1D.4479,17.969216,46.158600,-122.097603,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4479/1D.4529/stack_pws.h5
1D.4529,1D.4487,18.036406,46.146099,-122.095497,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4487/1D.4529/stack_pws.h5
1D.4529,1D.4499,18.148402,46.157501,-122.095100,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4499/1D.4529/stack_pws.h5
1D.4529,1D.4488,18.184543,46.143700,-122.093498,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4488/1D.4529/stack_pws.h5
1D.4529,1D.4489,18.351925,46.141399,-122.091301,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4489/1D.4529/stack_pws.h5
1D.4529,1D.4500,18.369236,46.155899,-122.092003,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4500/1D.4529/stack_pws.h5
1D.4529,1D.4490,18.492381,46.139099,-122.089500,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4490/1D.4529/stack_pws.h5
1D.4529,1D.4501,18.619152,46.153801,-122.088501,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4501/1D.4529/stack_pws.h5
1D.4529,1D.4502,18.905081,46.152000,-122.084602,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4502/1D.4529/stack_pws.h5
1D.4529,1D.4530,19.103483,46.156399,-122.082497,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4529/1D.4530/stack_pws.h5
1D.4529,1D.4503,19.112805,46.149502,-122.081703,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4503/1D.4529/stack_pws.h5
1D.4529,1D.4504,19.204348,46.147598,-122.080399,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4504/1D.4529/stack_pws.h5
1D.4529,1D.4505,19.266236,46.145302,-122.079498,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4505/1D.4529/stack_pws.h5
1D.4529,1D.4531,19.329612,46.158298,-122.079803,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4529/1D.4531/stack_pws.h5
1D.4529,1D.4506,19.486655,46.143902,-122.076599,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4506/1D.4529/stack_pws.h5
1D.4529,1D.4507,19.735039,46.145000,-122.073402,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4507/1D.4529/stack_pws.h5
1D.4529,1D.4508,19.956070,46.146900,-122.070602,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4508/1D.4529/stack_pws.h5
1D.4529,1D.4509,20.082422,46.145302,-122.068901,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4509/1D.4529/stack_pws.h5
1D.4529,1D.4511,20.178424,46.140701,-122.067596,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4511/1D.4529/stack_pws.h5
1D.4529,1D.4510,20.202145,46.143200,-122.067299,/mnt/data_hdd/MSH_ANT/stack/2014/1D_WANG_PWS_150s_20260620/STACK/1D.4510/1D.4529/stack_pws.h5
